                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.58783,                0.89493,                0.39648,                0.93139,                0.99279,                0.99073,                0.99451,                0.90929,                0.99104,                0.98898,                0.99428,                0.81001,                0.42194,                0.60392,                0.28463,                0.88304,               0.008449,               0.008449,               0.008449
                     49,                0.58759,                0.88689,                0.39281,                0.93072,                 0.9936,                0.99048,                0.99471,                0.91182,                0.99241,                0.98931,                0.99426,                0.81301,                0.41211,                0.60329,                0.27738,                0.87784,               0.008416,               0.008416,               0.008416
                     50,                0.58084,                0.89182,                0.38881,                0.93027,                0.99454,                0.99089,                0.99476,                0.90882,                0.99393,                0.99009,                0.99452,                0.80501,                0.41537,                0.61198,                0.27962,                0.88473,               0.008383,               0.008383,               0.008383
                     51,                0.58206,                0.89389,                0.39283,                0.92992,                0.99396,                  0.992,                0.99481,                0.91397,                0.99319,                0.99087,                0.99441,                0.81703,                0.41648,                0.60522,                0.27763,                 0.8814,                0.00835,                0.00835,                0.00835
                     52,                0.58386,                0.89801,                0.38836,                0.93135,                0.99164,                0.99128,                0.99463,                0.90511,                0.99086,                0.99064,                0.99425,                0.81017,                0.41927,                 0.6013,                0.28175,                0.88073,               0.008317,               0.008317,               0.008317
                     53,                0.57351,                0.87058,                0.38388,                0.92615,                 0.9918,                0.98745,                0.99452,                0.90877,                0.99179,                0.98583,                0.99426,                0.81015,                0.42197,                0.60835,                0.28289,                0.88555,               0.008284,               0.008284,               0.008284
                     54,                0.58348,                0.90186,                0.38746,                0.93067,                0.98496,                0.99278,                0.99454,                0.90968,                0.98599,                0.98815,                0.99432,                0.81188,                0.41133,                 0.6031,                0.27409,                0.87916,               0.008251,               0.008251,               0.008251
                     55,                 0.5768,                0.88242,                0.38475,                0.92481,                0.99154,                0.99126,                0.99476,                0.91118,                0.99044,                0.99067,                0.99469,                0.81463,                0.40922,                0.58784,                0.27816,                0.87985,               0.008218,               0.008218,               0.008218
                     56,                0.57566,                0.87338,                0.38401,                 0.9263,                0.99469,                0.99126,                0.99483,                0.90786,                0.99357,                0.99083,                0.99471,                0.80803,                0.41873,                  0.609,                0.27844,                0.88307,               0.008185,               0.008185,               0.008185
                     57,                0.57367,                 0.8792,                0.38357,                0.92462,                0.99531,                0.99075,                0.99472,                0.91432,                0.99455,                0.98912,                0.99464,                0.81589,                0.40754,                0.58529,                0.27528,                0.87391,               0.008152,               0.008152,               0.008152
                     58,                0.56993,                  0.863,                 0.3843,                0.92784,                0.99408,                0.99067,                0.99477,                 0.9131,                0.99261,                0.98912,                0.99459,                 0.8162,                0.40441,                0.58523,                0.27322,                0.87442,               0.008119,               0.008119,               0.008119
                     59,                0.57194,                0.86658,                0.38168,                0.92521,                0.99165,                0.99067,                0.99476,                0.91208,                0.99126,                0.99028,                0.99463,                0.81806,                0.40685,                0.58655,                0.27649,                0.87556,               0.008086,               0.008086,               0.008086
                     60,                0.56647,                0.85833,                0.37852,                 0.9237,                0.99284,                0.99281,                0.99479,                0.91696,                0.99134,                0.99126,                0.99459,                0.81736,                 0.4026,                0.59233,                 0.2677,                0.87471,               0.008053,               0.008053,               0.008053
                     61,                0.56675,                0.86691,                0.37882,                0.92295,                 0.9932,                0.99028,                0.99477,                0.91536,                0.99269,                 0.9897,                0.99437,                0.81546,                0.40075,                0.59361,                0.26857,                0.87767,                0.00802,                0.00802,                0.00802
                     62,                 0.5659,                0.85726,                 0.3784,                0.92628,                0.99241,                 0.9907,                0.99474,                0.91366,                0.99201,                0.98899,                0.99468,                0.81956,                 0.4003,                0.57664,                0.26741,                0.86984,               0.007987,               0.007987,               0.007987
